Date,inflation_percentage
2025-01-31,42.2
2024-12-31,44.4
2024-11-30,47.1
2024-10-31,48.7
2024-09-30,49.5
2024-08-31,52.0
2024-07-31,61.8
2024-06-30,71.6
2024-05-31,75.5
2024-04-30,69.8
2024-03-31,68.6
2024-02-29,67.1
2024-01-31,64.9
2023-12-31,64.9
2023-11-30,62.1
2023-10-31,61.5
2023-09-30,61.7
2023-08-31,59.1
2023-07-31,48.0
2023-06-30,38.3
2023-05-31,39.7
2023-04-30,43.7
2023-03-31,50.6
2023-02-28,55.2
2023-01-31,57.7
2022-12-31,64.3
2022-11-30,84.4
2022-10-31,85.4
2022-09-30,83.4
2022-08-31,80.1
2022-07-31,79.5
2022-06-30,78.6
2022-05-31,73.5
2022-04-30,70.0
2022-03-31,61.1
2022-02-28,54.4
2022-01-31,48.7
2021-12-31,36.1
2021-11-30,21.3
2021-10-31,19.9
2021-09-30,19.6
2021-08-31,19.2
2021-07-31,18.9
2021-06-30,17.5
2021-05-31,16.6
2021-04-30,17.1
2021-03-31,16.2
2021-02-28,15.6
2021-01-31,15.0
2020-12-31,14.6
